fips,state_abbr,county_name,binge_drinking_prevalence,cancer_prevalence,copd_prevalence,depression_prevalence,diabetes_prevalence,heart_disease_prevalence,high_bp_prevalence,high_cholesterol_prevalence,obesity_prevalence,physical_inactivity_prevalence,smoking_prevalence,stroke_prevalence,state_fips,chronic_disease_burden_score
01001,AL,Autauga,14.3,7.0,6.4,25.1,11.4,5.6,42.0,36.3,39.8,26.0,14.5,3.2,01,24.7
01003,AL,Baldwin,14.6,10.2,6.0,23.9,13.4,7.5,43.8,42.8,35.2,23.7,13.3,3.8,01,24.975
01005,AL,Barbour,12.4,6.1,9.3,22.1,19.6,7.4,45.4,43.0,46.8,34.5,20.2,5.8,01,29.800000000000004
01007,AL,Bibb,15.3,8.3,10.2,24.4,16.2,8.5,42.4,42.4,43.7,33.3,19.9,4.7,01,27.700000000000003
01009,AL,Blount,14.5,7.3,9.1,24.8,11.3,8.0,36.0,42.2,36.0,29.1,16.6,3.3,01,22.825
01011,AL,Bullock,11.7,6.3,13.0,21.7,24.6,10.7,52.4,37.1,51.0,42.7,24.9,6.2,01,34.675
01013,AL,Butler,13.4,8.4,10.3,23.8,15.2,9.1,51.0,43.4,40.7,37.1,19.0,5.5,01,29.0
01015,AL,Calhoun,15.6,6.9,7.8,24.6,14.8,6.4,44.8,35.4,38.6,31.0,16.3,3.6,01,26.15
01017,AL,Chambers,11.8,8.4,8.0,23.9,14.5,8.6,48.7,41.8,41.6,32.5,18.2,5.2,01,28.35
01019,AL,Cherokee,16.5,10.6,8.2,25.0,16.0,9.6,45.9,45.9,39.5,28.8,17.5,4.8,01,27.75
01021,AL,Chilton,15.5,8.6,7.6,24.5,12.0,7.6,39.0,43.3,39.8,30.0,16.9,4.0,01,24.6
01023,AL,Choctaw,13.9,9.1,8.5,23.3,15.0,10.0,52.7,45.3,44.4,33.5,18.2,4.3,01,30.525000000000002
01025,AL,Clarke,11.6,6.2,9.7,23.9,14.9,6.5,49.5,35.0,44.2,34.4,18.3,4.1,01,28.775
01027,AL,Clay,15.6,7.1,10.6,26.0,12.9,6.8,40.6,36.6,42.4,30.5,18.7,3.7,01,25.674999999999997
