fips,state_abbr,county_name,year,premature_death_rate,pct_fair_poor_health,avg_physically_unhealthy_days,avg_mentally_unhealthy_days,obesity_prevalence,physical_inactivity_prevalence,excessive_drinking_prevalence,smoking_prevalence,diabetes_prevalence,pct_uninsured,pcp_rate,preventable_hospitalizations,high_school_graduation_rate,pct_some_college,median_household_income,child_poverty_rate,food_insecurity_rate,pct_limited_food_access,pct_insufficient_sleep,pct_low_birthweight,teen_birth_rate,mental_health_provider_rate,food_environment_index,pct_access_exercise,income_inequality_ratio,social_association_rate,pct_severe_housing_problems,pct_rural,preventable_cost_estimate,diet_disease_score,health_burden_score
fipscode,state,county,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01001,AL,Autauga County,2024,9407.9484384,0.173,3.9102650589,5.7032041246,0.389,0.291,0.1523782151,0.169,0.107,0.1001856044,0.0004399695,3915.0,0.87,0.6414750147,70148.0,0.157,0.133,0.1302099797,0.375,0.0987133516,20.908880488,0.0003681454,6.7,0.5449196497,4.6376753942,12.691429055,0.1537569573,0.406768132,58725.0,0.248,0.2258
01003,AL,Baldwin County,2024,8981.5753533,0.152,3.7309428675,5.3736661513,0.372,0.276,0.1642256356,0.15,0.098,0.1099706666,0.000626844,2799.0,0.8865171392,0.6568041849,71704.0,0.161,0.118,0.0793677936,0.351,0.0812431843,20.20223706,0.0011037393,7.5,0.6312934973,4.4824492469,9.6533970764,0.1242786602,0.3758645536,41985.0,0.235,0.2096
01005,AL,Barbour County,2024,13138.848362,0.273,5.0234883184,6.0142940199,0.434,0.402,0.1227719794,0.25,0.156,0.1267763429,0.0004005768,3040.0,0.8544097996,0.4045447519,41151.0,0.377,0.178,0.1043317167,0.439,0.122724909,36.618539443,0.000283332,6.0,0.5485469611,5.5767967895,8.4121134434,0.150751073,0.6591999366,45600.0,0.295,0.30300000000000005
01007,AL,Bibb County,2024,12675.434581,0.22,4.552794934,5.8245833931,0.396,0.36,0.14785821,0.22,0.124,0.1137992832,0.0006673488,4651.0,0.88,0.3899351163,54309.0,0.255,0.149,0.0044586621,0.4,0.0982857143,31.922979478,0.0004998864,7.6,0.4339030189,5.66923661,8.8979846065,0.1225895317,1.0,69765.0,0.26,0.264
01009,AL,Blount County,2024,11541.495069,0.186,4.2463351824,5.6648506119,0.377,0.304,0.1494611482,0.196,0.105,0.1281997789,0.0002032486,2499.0,0.9791962775,0.5197596324,60553.0,0.158,0.137,0.0251220602,0.373,0.0760432112,25.123231038,0.0002688533,7.7,0.4135522711,4.6119463633,7.6218221236,0.1065786371,0.9048939696,37485.0,0.241,0.23359999999999997
01011,AL,Bullock County,2024,13837.899207,0.307,5.152511842,5.9731447807,0.489,0.436,0.115288295,0.257,0.187,0.1221464572,0.0001937984,2268.0,0.825,0.3272864701,35798.0,0.39,0.156,0.3233919039,0.46,0.1512195122,37.430167598,0.00019604,4.2,0.4234817032,7.1458197788,5.8139534884,0.0962099125,1.0,34020.0,0.33799999999999997,0.33520000000000005
01013,AL,Butler County,2024,12718.633185,0.234,4.6273770571,6.0808851568,0.42,0.365,0.1282113141,0.211,0.14,0.1190345207,0.0002647744,3396.0,0.8,0.3917183348,41852.0,0.33,0.138,0.0691828694,0.409,0.1319038337,34.834992142,0.0008579088,7.2,0.4272216682,4.8787334497,9.0023300148,0.115037594,0.6943467535,50940.0,0.28,0.274
01015,AL,Calhoun County,2024,13197.258124,0.208,4.4995565219,5.6966110465,0.389,0.341,0.1353990576,0.208,0.12,0.1321708558,0.0005863484,3491.0,0.9197126437,0.545473596,52772.0,0.262,0.156,0.15398073,0.381,0.0950943396,25.979876858,0.0015804747,5.9,0.6669386213,4.8759708167,13.623978202,0.105676464,0.3649401843,52365.0,0.2545,0.2532
01017,AL,Chambers County,2024,12135.481512,0.22,4.5047834942,5.8122116703,0.439,0.35,0.128128424,0.203,0.134,0.1262688232,0.0004053154,3163.0,0.8650172414,0.5183391841,45563.0,0.306,0.133,0.0810298845,0.434,0.1344853494,30.473135525,0.0001173433,7.2,0.637524445,4.7377073171,17.66017197,0.1612665685,0.5074485218,47445.0,0.2865,0.2692
