brand_name,generic_name,manufacturer,total_spending_2023,total_units_2023,total_claims_2023,total_beneficiaries_2023,avg_price_per_unit_2023,country,source
1st Tier Unifine Pentips,"Pen Needle, Diabetic",Overall,44355.04,195672.0,1613,699.0,0.2271618646,US,Medicare Part D
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",Overall,97951.18,406617.0,3269,1267.0,0.2409322287,US,Medicare Part D
Abacavir,Abacavir Sulfate,Overall,5287295.41,1648593.0,19632,2809.0,3.594356551,US,Medicare Part D
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Overall,9999234.5,827085.0,20201,2892.0,12.057845489,US,Medicare Part D
Abilify,Aripiprazole,Overall,11882943.19,516496.25,12115,1736.0,23.319755196,US,Medicare Part D
Abilify Asimtufii,Aripiprazole,Overall,13218817.72,7414.2,2410,1231.0,1783.0262923,US,Medicare Part D
Abilify Maintena,Aripiprazole,Overall,636857890.94,233084.9,232162,29378.0,2732.2746358,US,Medicare Part D
Abilify Mycite,Aripiprazole,Overall,75397.26,1320.0,44,,57.119136364,US,Medicare Part D
Abiraterone Acetate,Abiraterone Acetate,Overall,877469516.77,32615964.0,315666,45661.0,33.614327353,US,Medicare Part D
Abraxane,Paclitaxel Protein-Bound,Overall,7462297.97,4453.0,932,249.0,1675.7911453,US,Medicare Part D
Abrysvo,"Rsv Vacc, Pref A And Pref B/PF",Overall,698160177.7,2133059.8,2133980,2131906.0,327.30454988,US,Medicare Part D
Absorica,Isotretinoin,Overall,76072.07,1950.0,42,22.0,38.821409417,US,Medicare Part D
Absorica Ld,"Isotretinoin, Micronized",Overall,62964.21,1380.0,31,14.0,45.669179159,US,Medicare Part D
Acamprosate Calcium,Acamprosate Calcium,Overall,8093355.04,8557788.0,50232,15765.0,0.945327342,US,Medicare Part D
Acanya,Clindamycin Phos/Benzoyl Perox,Overall,14029.67,1263.0,26,,11.10821061,US,Medicare Part D
Acarbose,Acarbose,Overall,9781113.16,28183233.0,169742,42919.0,0.3503993305,US,Medicare Part D
Accolate,Zafirlukast,Overall,8114.96,2202.0,21,13.0,3.6894436886,US,Medicare Part D
Accutane,Isotretinoin,Overall,83176.6,19470.0,424,192.0,4.2666876702,US,Medicare Part D
Acebutolol HCl,Acebutolol HCl,Overall,5641077.2,8673062.0,76288,18164.0,0.6567985981,US,Medicare Part D
Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,Overall,219642.98,79126.0,1064,235.0,2.7758635594,US,Medicare Part D
Acetaminophen,Acetaminophen,Overall,48942.97,312100.0,350,156.0,0.1602797227,US,Medicare Part D
Acetaminophen-Codeine,Acetaminophen With Codeine,Overall,31133907.32,122934247.87,2525038,1131972.0,0.2464384255,US,Medicare Part D
Acetazolamide,Acetazolamide,Overall,14839910.41,16232723.086,223297,90681.0,0.9128523131,US,Medicare Part D
Acetazolamide ER,Acetazolamide,Overall,6352444.08,5862850.0,81763,33680.0,1.0930203923,US,Medicare Part D
Acetazolamide Sodium,Acetazolamide Sodium,Overall,8855.78,214.0,19,,41.382149533,US,Medicare Part D
Acetic Acid*,Acetic Acid,Overall,1593486.51,51844937.082,74733,43136.0,0.9307912383,US,Medicare Part D
Acetylcysteine*,Acetylcysteine,Overall,1834431.33,1767686.0,18326,4830.0,1.0175325829,US,Medicare Part D
Aciphex,Rabeprazole Sodium,Overall,16133400.63,668561.0,7726,1820.0,24.077408339,US,Medicare Part D
Acitretin,Acitretin,Overall,20850061.95,1693014.0,41308,9207.0,12.366738435,US,Medicare Part D
Actemra Actpen,Tocilizumab,Overall,184648415.67,138823.7,44486,6927.0,1330.0928852,US,Medicare Part D
Actemra*,Tocilizumab,Overall,135711700.12,263212.8,33939,4570.0,1074.3452266,US,Medicare Part D
Acthar,Corticotropin,Overall,377839858.86,40750.0,5235,942.0,9272.1437757,US,Medicare Part D
Acthib,Haemoph B Poly Conj-Tet Tox/PF,Overall,65207.56,1967.0,1975,1548.0,33.150767666,US,Medicare Part D
Actimmune,"Interferon Gamma-1b,Recomb.",Overall,26300696.62,2432.0,423,43.0,10814.431176,US,Medicare Part D
Activella,Estradiol/Norethindrone Acet,Overall,124689.52,12488.0,234,55.0,9.9847469571,US,Medicare Part D
Actonel,Risedronate Sodium,Overall,1132973.42,10094.0,1617,398.0,170.59189078,US,Medicare Part D
Actoplus Met,Pioglitazone HCl/Metformin HCl,Overall,131484.67,12857.0,143,27.0,10.226699074,US,Medicare Part D
Actos,Pioglitazone HCl,Overall,947844.25,52305.0,847,224.0,18.217306603,US,Medicare Part D
Acular,Ketorolac Tromethamine,Overall,74908.17,1510.0,230,160.0,49.608059603,US,Medicare Part D
Acular Ls,Ketorolac Tromethamine,Overall,23939.19,475.0,74,53.0,50.398294737,US,Medicare Part D
